agent,size,n_seeds,mean,ci_lo,ci_hi,std,min,max
BFSOracle,9,20,1.0,1.0,1.0,0.0,1.0,1.0
NoBackRandom,9,20,0.522,0.492,0.5509999999999999,0.06985699678629191,0.4,0.62
LevyRandom_2.0,9,20,0.403,0.37300000000000005,0.433,0.06875586099419184,0.3,0.52
LevyRandom_1.5,9,20,0.34299999999999997,0.31100000000000005,0.374,0.07291667919799391,0.22,0.46
Random,9,20,0.31700000000000006,0.296,0.3400000000000001,0.052425385574467444,0.24,0.44
FeatureQ_v2,9,20,0.35300000000000004,0.32399999999999995,0.38000000000000006,0.06751997755050762,0.18,0.46
TabularQ_v2,9,20,0.29800000000000004,0.261,0.336,0.09058871778247932,0.18,0.48
FeatureQ,9,20,0.196,0.17300000000000004,0.21799999999999997,0.05174837907453823,0.1,0.28
TabularQ,9,20,0.005,0.001,0.01,0.011002392084403616,0.0,0.04
MLP_DQN,9,20,0.193,0.15900000000000003,0.229,0.081117199162693,0.04,0.36
DoubleDQN,9,20,0.15800000000000003,0.13800000000000004,0.17900000000000005,0.048946802486824516,0.06,0.3
DRQN,9,10,0.15200000000000002,0.092,0.22200000000000003,0.11123548594460914,0.04,0.38
BFSOracle,11,20,1.0,1.0,1.0,0.0,1.0,1.0
NoBackRandom,11,20,0.36900000000000005,0.341,0.397,0.06504249622969181,0.26,0.48
LevyRandom_2.0,11,20,0.23000000000000004,0.20700000000000002,0.25502499999999967,0.056754318175615034,0.14,0.36
LevyRandom_1.5,11,20,0.207,0.18000000000000002,0.236,0.06530092285960276,0.1,0.36
Random,11,20,0.189,0.17300000000000004,0.20500000000000002,0.03697794506259957,0.12,0.26
FeatureQ_v2,11,20,0.22399999999999998,0.191,0.261,0.08146035522684766,0.1,0.44
TabularQ_v2,11,20,0.16200000000000003,0.12400000000000003,0.199,0.08654782675370581,0.04,0.32
FeatureQ,11,20,0.16700000000000004,0.14,0.194,0.06266871963789136,0.06,0.26
TabularQ,11,20,0.003,0.0,0.006999999999999999,0.007326950970650465,0.0,0.02
MLP_DQN,11,20,0.10300000000000002,0.08500000000000002,0.11900000000000002,0.03961658344949153,0.0,0.18
DoubleDQN,11,20,0.09700000000000002,0.08,0.11400000000000002,0.04117996446919558,0.02,0.16
BFSOracle,13,20,1.0,1.0,1.0,0.0,1.0,1.0
NoBackRandom,13,20,0.25799999999999995,0.236,0.28200000000000003,0.05425087920703997,0.16,0.38
LevyRandom_2.0,13,20,0.15800000000000003,0.13900000000000004,0.18000000000000002,0.0480788825511619,0.08,0.3
LevyRandom_1.5,13,20,0.12500000000000003,0.10800000000000003,0.14100000000000004,0.039403446282620616,0.06,0.2
Random,13,20,0.12300000000000003,0.10200000000000001,0.14400000000000004,0.05037752213876845,0.04,0.24
FeatureQ_v2,13,20,0.12100000000000002,0.10400000000000002,0.13800000000000004,0.03918914994847695,0.06,0.2
TabularQ_v2,13,20,0.09000000000000002,0.06500000000000002,0.11500000000000003,0.05964809080634607,0.0,0.2
FeatureQ,13,20,0.11100000000000002,0.085,0.14,0.0640641126241189,0.02,0.26
TabularQ,13,20,0.001,0.0,0.003,0.00447213595499958,0.0,0.02
MLP_DQN,13,20,0.041,0.027000000000000003,0.05600000000000001,0.0333876750029897,0.0,0.12
DoubleDQN,13,20,0.03400000000000001,0.02,0.05,0.03500375919661683,0.0,0.14
BFSOracle,17,20,1.0,1.0,1.0,0.0,1.0,1.0
NoBackRandom,17,20,0.14800000000000005,0.12900000000000003,0.16700000000000004,0.04514304749174678,0.06,0.24
LevyRandom_2.0,17,20,0.06900000000000002,0.05700000000000001,0.08000000000000003,0.02712543960351999,0.02,0.1
LevyRandom_1.5,17,20,0.05900000000000001,0.045000000000000005,0.07400000000000002,0.03462581938988669,0.0,0.14
Random,17,20,0.044000000000000004,0.03300000000000001,0.05500000000000001,0.026437612759495757,0.0,0.08
FeatureQ_v2,17,20,0.009999999999999998,0.004,0.018,0.016543403837370227,0.0,0.06
TabularQ_v2,17,20,0.011000000000000001,0.005,0.018,0.015183093090324966,0.0,0.04
FeatureQ,17,20,0.04900000000000001,0.036000000000000004,0.06400000000000002,0.03275105462343722,0.0,0.12
TabularQ,17,20,0.0,0.0,0.0,0.0,0.0,0.0
MLP_DQN,17,20,0.009000000000000001,0.003,0.016,0.015183093090324963,0.0,0.04
DoubleDQN,17,20,0.005,0.001,0.01,0.011002392084403618,0.0,0.04
BFSOracle,21,20,1.0,1.0,1.0,0.0,1.0,1.0
NoBackRandom,21,20,0.079,0.06000000000000001,0.09800000000000002,0.04517801048717116,0.0,0.16
LevyRandom_2.0,21,20,0.040999999999999995,0.031,0.052000000000000005,0.02468752081944492,0.0,0.08
LevyRandom_1.5,21,20,0.03200000000000001,0.024,0.04,0.01880649383926509,0.0,0.06
Random,21,20,0.020999999999999998,0.014999999999999996,0.027000000000000007,0.015183093090324963,0.0,0.04
FeatureQ_v2,21,20,0.003,0.0,0.006,0.007326950970650464,0.0,0.02
TabularQ_v2,21,20,0.002,0.0,0.005,0.006155870112510925,0.0,0.02
FeatureQ,21,20,0.031000000000000007,0.022,0.041,0.02198085291195139,0.0,0.08
TabularQ,21,20,0.001,0.0,0.003,0.00447213595499958,0.0,0.02
MLP_DQN,21,20,0.002,0.0,0.005,0.006155870112510925,0.0,0.02
DoubleDQN,21,20,0.002,0.0,0.005,0.006155870112510925,0.0,0.02
BFSOracle,25,20,1.0,1.0,1.0,0.0,1.0,1.0
NoBackRandom,25,20,0.045000000000000005,0.032,0.05900000000000001,0.03170588522490323,0.0,0.1
LevyRandom_2.0,25,20,0.031000000000000007,0.022,0.040999999999999995,0.021980852911951395,0.0,0.08
LevyRandom_1.5,25,20,0.018000000000000006,0.012,0.024,0.014363696929192158,0.0,0.04
Random,25,20,0.015,0.009,0.022000000000000002,0.015727950313140986,0.0,0.06
FeatureQ_v2,25,20,0.0,0.0,0.0,0.0,0.0,0.0
TabularQ_v2,25,20,0.0,0.0,0.0,0.0,0.0,0.0
FeatureQ,25,1,0.0,0.0,0.0,0.0,0.0,0.0
TabularQ,25,1,0.0,0.0,0.0,0.0,0.0,0.0
