attack,defeated,evidence,decisive_experiment
A1: Neural RL was under-trained,PARTIAL,"Main sweep uses 100 train episodes (~27K env steps). Prior V1 run of SB3 PPO/DQN/A2C at 100K-500K steps shows PPO_500K = 14.4% at 9x9, still below Random's 31.7%. Not in the current v2 deterministic pipeline.","Re-run PPO/DQN/A2C at 10K, 100K, 500K env steps under v2 pipeline. ~15 GPU-hours."
A2: Random wins because reward shaping punishes directed policies,DEFEATED,"FeatureQ: full=35.3%, vanilla=17.4%, delta=-17.9%; MLP_DQN: full=19.3% (n=20), vanilla=13.6% (n=20), delta=-5.7%; Random: full=31.7%, vanilla=31.7% (identical, Random ignores reward); NoBackRandom: full=52.2%, vanilla=52.2% (identical)","Complete vanilla::MLP_DQN + vanilla::DoubleDQN (Phase 2 pending, 40 runs)"
A3: Observation causes state aliasing -> POMDP,PENDING,"DRQN n=8, need at least 20 seeds.",Complete DRQN 20-seed sweep at 9x9 (in progress)
A4: Hyperparameters not tuned,NOT TESTED,"Default hyperparameters used (lr=5e-4, eps_decay=20000, buffer=20000, target_update=300). No grid search. Matches MiniGrid/ProcGen paper defaults but not sensitivity-tested.","LR sweep (1e-4, 5e-4, 1e-3) × 10 seeds at 9x9 = 30 runs, ~30 min."
A5: Network was too small,PENDING,No capacity data yet.,Complete Phase 3B capacity study.
A6: 24-dim obs causes feature aliasing,PARTIALLY ADDRESSED,"FeatureQ_v2 keys on same 24-dim discretized features as neural agents. FeatureQ_v2=35.3% vs MLP_DQN=19.3% at 9x9. If aliasing were the cause, FeatureQ should suffer too. That it does not indicates the problem is neural-FA specific.","Directly measure same-state feature variance: for each global state, compute FeatureQ key collision rate. Ship as appendix."
A7: Implementation bug in neural agents,DEFEATED,"Smoke test runs all 9 agents with tiny budget and succeeds (18/18 passing). MLP_DQN reaches 19.3% at 9x9 - not stuck at 0%, which would suggest a bug. Agents learn to reduce per-step pain from -0.24 (Random) to -0.14 (MLP). Codex adversarial review did not flag MLP_DQN/DoubleDQN implementation bugs.",None needed.
A8: Neural agents dominated by hazard/wall avoidance,DEFEATED,"Per-step pain (total_reward - goal_contribution) / steps: MLP_DQN = -0.136, DoubleDQN = -0.146, DRQN = -0.186, Random = -0.238, NoBackRandom = -0.243. Neural agents pay ~0.10 LESS per-step cost than random walks. They successfully learn wall/hazard avoidance but fail at goal-seeking.",None needed.
A9: NoBackRandom is gaming the reward or maze structure,DEFEATED,"Three independent lines of evidence: (1) Under vanilla reward (no shaping, no visit penalty), NoBackRandom = 52.2% (identical to full shaping), confirming the effect is NOT shaping-dependent. (2) Cover-time decomposition (cover_time_analysis.py): NoBackRandom reaches goal in 167.6 steps vs Random 193.9 steps per successful episode -- 13.6% fewer steps. This is the exact cover-time advantage predicted by Alon-Benjamini-Lubetzky-Sodin 2007 for non-backtracking random walks on graphs. (3) NoBackRandom beats Random at all 6 maze scales (9-25) with Cohen d = +1.20 to +3.40, all p_Holm < 0.001. Cross-scale monotone consistency rules out shaping or size-specific gaming.",None needed.
A10: Neural baselines unfairly handicapped vs Random,DEFEATED,"All agents see: same mazes per seed, same observation space (24-dim ego features), same action space (4), same horizon (max(300, 4n^2)), same reward function (full or vanilla). Neural agents have strictly more ""information"" than Random (they can learn Q-values). If anything, the design favors neural agents: they have access to a training phase; Random does not. Random has no training phase AT ALL.",None needed.
A11: Seed-unstable results (Henderson 2018),DEFEATED,"Per-seed std at 9x9: Random=0.052, NoBackRandom=0.070, MLP_DQN=0.081, DoubleDQN=0.049. Seed variance is similar across agents. Effect sizes (Cohen's d up to -3.1) are much larger than seed noise. 20 seeds per cell follows Agarwal 2021 recommendation.",None needed.
