agent,n_episodes,mean_total_reward,mean_steps,mean_pain,mean_pain_per_step,success_rate
BFSOracle,1000,8.90734,17.516,-1.09266,-0.05946580952380951,1.0
DRQN,400,-60.105349999999675,278.8025,-61.58034999999967,-0.19959978315835794,0.1475
DoubleDQN,1000,-44.27889999999978,275.008,-45.858899999999785,-0.14603644660519854,0.158
FeatureQ,1000,-60.603159999999725,280.478,-62.563159999999726,-0.2138492724613514,0.196
FeatureQ_v2,1000,-49.28019999999975,238.906,-52.81019999999975,-0.20757533752510454,0.353
LevyRandom_1.5,1000,-69.08649999999967,272.604,-72.51649999999968,-0.26269574963755327,0.343
LevyRandom_2.0,1000,-63.667919999999725,266.848,-67.69791999999973,-0.2509538609117332,0.403
MLP_DQN,1000,-40.62577999999979,264.109,-42.55577999999979,-0.13625341608991778,0.193
MLP_DQN_h32,100,-33.67699999999987,286.72,-34.87699999999987,-0.1069989814814811,0.12
NoBackRandom,1000,-54.59515999999979,242.353,-59.815159999999786,-0.2428243480667781,0.522
Random,2000,-64.57643999999974,282.765,-67.74643999999974,-0.23801441786293445,0.317
TabularQ,1000,-81.50503999999958,323.257,-81.5550399999996,-0.2521463692148622,0.005
TabularQ_v2,1000,-65.28961999999972,280.244,-68.2696199999997,-0.24056285686343537,0.298
